"msno","payment_plan_days","amt_per_day","plan_list_price","actual_amount_paid","discount","sum_auto_renew","sum_cancel","member_duration"
"//o3boPwrku6PqJbYkvdQcjJjAf6dqcNyXq8KaUEgS0=",30,4.3,129,129,0,2,0,61.5
"/15Ynuh2p32jsGgkmzhG7maJsiok4V8t0WRFipy3Z/0=",30,6,180,180,0,0,0,32
"/1hBys0pPH4KEqShMFI9UguHaQJTqsvy90M6gU1gCZA=",30,6,180,180,0,2,0,53.5
"/28Lcqtz9DJPnEW/9leFI/smxWAVKSISLBU9uwJfBk0=",30,4.96666666666667,149,149,0,0,0,30
"/3bcTMuPgjgA0XuYTbRPI7gYMWqWH0nvoKPKEZhjB8w=",30,4.96666666666667,149,149,0,1,0,31
"/3rLJOS59+gu43Wv069+L8xoTfNyq3S0W3TamNEECsM=",30,4.96666666666667,149,149,0,1,0,30
"/3W4KsBOUlzWPFTXLsQoukoANy+HG+79qiuLHzJQcgA=",30,4.96666666666667,149,149,0,2,0,48.5
"/3ZTgIPD86j7Hj+yPc/az3ujQ1pcSvhgdmCEWn+yWRQ=",30,4.96666666666667,149,149,0,0,0,31
"/4LbKDJnpFXikUsU7FqSgJ9gf0XZGMFaH5jUp50/3RE=",30,4.96666666666667,149,149,0,1,0,30
"/5bbx1xSnvOqg2zmckST5h1njKCH3QnZKQkxsWXrQns=",30,4.96666666666667,149,149,0,1,0,31
"/5uDgHJOyfZFWSAUBX2537S6/zEtKRL4A96ccSIxGfU=",30,4.96666666666667,149,149,0,2,0,43.5
"/8f0POWp+E+g8w/hkc4rHiIfKjk1zQvPJ6vo1IDlqqg=",30,4.96666666666667,149,149,0,1,0,36
"/8qVI4I7+XjTPCfi0r8JhT0Dke59/I0CjdMOdAnVgZg=",30,3.3,99,99,0,1,0,31
"/9lp1Og9ew+rTrwnezqTLhM9VI7/9y1Mb6SvoYusYs4=",30,3.3,99,99,0,1,0,31
"/9q0PTfdLb1NRd+jpoYAvj3o8GHCsdAnWOaoQ9KF8lg=",30,3.3,99,99,0,1,0,31
"/B3GYwtqqeEK6BnyQO35B9hwYG9y7CqZYwZWK36WLOw=",30,4.96666666666667,149,149,0,1,0,31
"/BTl22m74NcOwaiAjjetdSW+nSqs2/syVSeHGbN17YU=",30,3.3,99,99,0,1,0,31
"/c8DbpawfS6ue7UoM3TYE9EWz8Ya4x02gYvN2W/+tPQ=",30,4.96666666666667,149,149,0,1,0,31
"/cAzXg1vwMtpRmcxAdOWvpzXj0J/sgNQlDVxQkFcscU=",30,4.96666666666667,149,149,0,1,0,31
"/cbAzglrvV59C9ZtlOE5o+3zFFRoh2A/dmePeaVBEaM=",30,3.33333333333333,100,100,0,1,0,31
"/crUEPIFqRl4mKm8rPG41v/2tNqir69IRN2Mnn5soQ0=",30,4.96666666666667,149,149,0,2,0,57.5
"/dhH4/g6PyEBjF2fShOs6XZlY9UCq6g6j6Xci4r3+yU=",30,3.3,99,99,0,1,0,31
"/dp/0Cyo2+qnqPZwz20QVV+ma9HswS+YVoNOjE9niMA=",30,3.3,99,99,0,1,0,31
"/FBd3r6E8BvNt7FddIZUHP8b2+X+PZJd4KGADMzfVFI=",30,6,180,180,0,1,0,31
"/fgVwk5LKGRPmKXHygx2LpHFG5jsjBU1u3uZCgdxUHc=",30,3.3,99,99,0,1,0,31
"/fLHJB77oP7jIp+saoN7kJnVFE2chLDKkEBe/x+kqqs=",30,3.3,99,99,0,1,0,31
"/ftGvYJaURwrZfQzNoQ6YrMhrsLyKrvdS6fTvSNaxB0=",30,6,180,180,0,0,0,30
"/gJ5IyxWuTDJC1LjniHM+fw9Hu7m1VWmIjA2qrTRIcg=",30,6,180,180,0,1,0,30
"/GN1iqhNrUQ1oSIK9h6wI4nniKhONki+uHarNClOSfI=",30,3.3,99,99,0,1,0,31
